Time	UTC	GPS_lat(deg)	GPS_long(deg)
379.215	15:51:31.215	43.462229950	1.272889989
379.465	15:51:31.465	43.462229950	1.272889989
379.715	15:51:31.715	43.462229950	1.272889989
379.965	15:51:31.965	43.462229950	1.272889989
380.215	15:51:32.215	43.462229950	1.272889989
380.465	15:51:32.465	43.462229950	1.272889989
380.715	15:51:32.715	43.462229950	1.272889989
380.965	15:51:32.965	43.462229950	1.272889989
381.215	15:51:33.215	43.462229950	1.272889989
381.465	15:51:33.465	43.462229950	1.272889989
381.715	15:51:33.715	43.462229950	1.272889989
381.965	15:51:33.965	43.462229950	1.272889989
382.215	15:51:34.215	43.462229950	1.272889989
382.465	15:51:34.465	43.462229950	1.272889989
382.715	15:51:34.715	43.462229950	1.272889989
382.965	15:51:34.965	43.462229950	1.272889989
383.215	15:51:35.215	43.462229950	1.272889989
383.465	15:51:35.465	43.462229950	1.272889989
383.715	15:51:35.715	43.462229950	1.272889989
383.965	15:51:35.965	43.462229950	1.272889989
384.215	15:51:36.215	43.462229950	1.272889989
384.465	15:51:36.465	43.462229950	1.272889989
384.715	15:51:36.715	43.462229950	1.272889989
384.965	15:51:36.965	43.462229950	1.272889989
385.215	15:51:37.215	43.462229950	1.272889989
385.465	15:51:37.465	43.462229950	1.272889989
385.715	15:51:37.715	43.462229950	1.272889989
385.965	15:51:37.965	43.462229950	1.272889989
386.215	15:51:38.215	43.462229950	1.272889989
386.465	15:51:38.465	43.462229950	1.272889989
386.715	15:51:38.715	43.462229950	1.272889989
386.965	15:51:38.965	43.462229950	1.272889989
387.215	15:51:39.215	43.462229950	1.272889989
387.465	15:51:39.465	43.462229950	1.272889989
387.715	15:51:39.715	43.462229950	1.272889989
387.965	15:51:39.965	43.462229950	1.272889989
388.215	15:51:40.215	43.462229950	1.272889989
388.465	15:51:40.465	43.462229950	1.272889989
388.715	15:51:40.715	43.462229950	1.272889989
388.965	15:51:40.965	43.462229950	1.272889989
389.215	15:51:41.215	43.462229950	1.272889989
389.465	15:51:41.465	43.462229950	1.272889989
389.715	15:51:41.715	43.462229950	1.272889989
389.965	15:51:41.965	43.462229950	1.272889989
390.215	15:51:42.215	43.462229950	1.272889989
390.465	15:51:42.465	43.462229950	1.272889989
390.715	15:51:42.715	43.462229950	1.272889989
390.965	15:51:42.965	43.462229950	1.272889989
391.215	15:51:43.215	43.462229950	1.272889989
391.465	15:51:43.465	43.462229950	1.272889989
391.715	15:51:43.715	43.462229950	1.272889989
391.965	15:51:43.965	43.462229950	1.272889989
392.215	15:51:44.215	43.462229950	1.272889989
392.465	15:51:44.465	43.462229950	1.272889989
392.715	15:51:44.715	43.462229950	1.272889989
392.965	15:51:44.965	43.462229950	1.272889989
393.215	15:51:45.215	43.462229950	1.272889989
393.465	15:51:45.465	43.462229950	1.272889989
393.715	15:51:45.715	43.462229950	1.272889989
393.965	15:51:45.965	43.462229950	1.272889989
394.215	15:51:46.215	43.462229950	1.272889989
394.465	15:51:46.465	43.462229950	1.272889989
394.715	15:51:46.715	43.462229950	1.272889989
394.965	15:51:46.965	43.462229950	1.272889989
395.215	15:51:47.215	43.462229950	1.272889989
395.465	15:51:47.465	43.462229950	1.272889989
395.715	15:51:47.715	43.462229950	1.272889989
395.965	15:51:47.965	43.462229950	1.272889989
396.215	15:51:48.215	43.462229950	1.272889989
396.465	15:51:48.465	43.462229950	1.272889989
396.715	15:51:48.715	43.462229950	1.272889989
396.965	15:51:48.965	43.462229950	1.272889989
397.215	15:51:49.215	43.462229950	1.272889989
397.465	15:51:49.465	43.462229950	1.272889989
397.715	15:51:49.715	43.462229950	1.272889989
397.965	15:51:49.965	43.462229950	1.272889989
398.215	15:51:50.215	43.462229950	1.272889989
398.465	15:51:50.465	43.462229950	1.272889989
398.715	15:51:50.715	43.462229950	1.272889989
398.965	15:51:50.965	43.462229950	1.272889989
399.215	15:51:51.215	43.462229950	1.272889989
399.465	15:51:51.465	43.462229950	1.272889989
399.715	15:51:51.715	43.462229950	1.272889989
399.965	15:51:51.965	43.462229950	1.272889989
400.215	15:51:52.215	43.462229950	1.272889989
400.465	15:51:52.465	43.462229950	1.272889989
400.715	15:51:52.715	43.462229950	1.272889989
400.965	15:51:52.965	43.462229950	1.272889989
401.215	15:51:53.215	43.462229950	1.272889989
401.465	15:51:53.465	43.462229950	1.272889989
401.715	15:51:53.715	43.462229950	1.272889989
401.965	15:51:53.965	43.462229950	1.272889989
402.215	15:51:54.215	43.462229950	1.272889989
402.465	15:51:54.465	43.462229950	1.272889989
402.715	15:51:54.715	43.462229950	1.272889989
402.965	15:51:54.965	43.462229950	1.272889989
403.215	15:51:55.215	43.462229950	1.272889989
403.465	15:51:55.465	43.462229950	1.272889989
403.715	15:51:55.715	43.462229950	1.272889989
