Time	UTC	GPS_lat(deg)	GPS_long(deg)	FINKEN_ACTUATORS_MODEL:thrust	ROTORCRAFT_STATUS:vsupply
54.724	09:11:26.134	43.462229950	1.272889989	0.300728	122
54.974	09:11:26.384	43.462229950	1.272889989	0.300728	122
55.224	09:11:26.634	43.462229950	1.272889989	0.300728	122
55.474	09:11:26.884	43.462229950	1.272889989	0.300728	122
55.724	09:11:27.134	43.462229950	1.272889989	0.300728	122
55.974	09:11:27.384	43.462229950	1.272889989	0.300728	122
56.224	09:11:27.634	43.462229950	1.272889989	0.300728	122
56.474	09:11:27.884	43.462229950	1.272889989	0.300728	122
56.724	09:11:28.134	43.462229950	1.272889989	0.300728	122
56.974	09:11:28.384	43.462229950	1.272889989	0.300728	122
57.224	09:11:28.634	43.462229950	1.272889989	0.300728	122
57.474	09:11:28.884	43.462229950	1.272889989	0.300728	122
57.724	09:11:29.134	43.462229950	1.272889989	0.305024	122
57.974	09:11:29.384	43.462229950	1.272889989	0.305024	122
58.224	09:11:29.634	43.462229950	1.272889989	0.305024	122
58.474	09:11:29.884	43.462229950	1.272889989	0.305024	122
58.724	09:11:30.134	43.462229950	1.272889989	0.305024	122
58.974	09:11:30.384	43.462229950	1.272889989	0.305024	122
59.224	09:11:30.634	43.462229950	1.272889989	0.305024	122
59.474	09:11:30.884	43.462229950	1.272889989	0.305024	122
59.724	09:11:31.134	43.462229950	1.272889989	0.305024	122
59.974	09:11:31.384	43.462229950	1.272889989	0.305024	122
60.224	09:11:31.634	43.462229950	1.272889989	0.305024	122
60.474	09:11:31.884	43.462229950	1.272889989	0.305024	122
60.724	09:11:32.134	43.462229950	1.272889989	0.309321	122
60.974	09:11:32.384	43.462229950	1.272889989	0.309321	122
61.224	09:11:32.634	43.462229950	1.272889989	0.309321	122
61.474	09:11:32.884	43.462229950	1.272889989	0.309321	122
61.724	09:11:33.134	43.462229950	1.272889989	0.309321	122
61.974	09:11:33.384	43.462229950	1.272889989	0.309321	122
62.224	09:11:33.634	43.462229950	1.272889989	0.309321	122
62.474	09:11:33.884	43.462229950	1.272889989	0.309321	122
62.724	09:11:34.134	43.462229950	1.272889989	0.309321	122
62.974	09:11:34.384	43.462229950	1.272889989	0.309321	122
63.224	09:11:34.634	43.462229950	1.272889989	0.309321	122
63.474	09:11:34.884	43.462229950	1.272889989	0.309321	122
63.724	09:11:35.134	43.462229950	1.272889989	0.313665	122
63.974	09:11:35.384	43.462229950	1.272889989	0.313665	122
64.224	09:11:35.634	43.462229950	1.272889989	0.313665	122
64.474	09:11:35.884	43.462229950	1.272889989	0.313665	122
64.724	09:11:36.134	43.462229950	1.272889989	0.313665	122
64.974	09:11:36.384	43.462229950	1.272889989	0.313665	122
65.224	09:11:36.634	43.462229950	1.272889989	0.313665	122
65.474	09:11:36.884	43.462229950	1.272889989	0.313665	122
65.724	09:11:37.134	43.462229950	1.272889989	0.313665	122
65.974	09:11:37.384	43.462229950	1.272889989	0.313665	122
66.224	09:11:37.634	43.462229950	1.272889989	0.313665	122
66.474	09:11:37.884	43.462229950	1.272889989	0.313665	122
66.724	09:11:38.134	43.462229950	1.272889989	0.317962	122
66.974	09:11:38.384	43.462229950	1.272889989	0.317962	122
67.224	09:11:38.634	43.462229950	1.272889989	0.317962	122
67.474	09:11:38.884	43.462229950	1.272889989	0.317962	122
67.724	09:11:39.134	43.462229950	1.272889989	0.317962	122
67.974	09:11:39.384	43.462229950	1.272889989	0.317962	122
68.224	09:11:39.634	43.462229950	1.272889989	0.317962	122
68.474	09:11:39.884	43.462229950	1.272889989	0.317962	122
68.724	09:11:40.134	43.462229950	1.272889989	0.317962	122
68.974	09:11:40.384	43.462229950	1.272889989	0.317962	122
69.224	09:11:40.634	43.462229950	1.272889989	0.317962	122
69.474	09:11:40.884	43.462229950	1.272889989	0.317962	122
69.724	09:11:41.134	43.462229950	1.272889989	0.322358	122
69.974	09:11:41.384	43.462229950	1.272889989	0.322358	122
70.224	09:11:41.634	43.462229950	1.272889989	0.322358	122
70.474	09:11:41.884	43.462229950	1.272889989	0.322358	122
70.724	09:11:42.134	43.462229950	1.272889989	0.322358	122
70.974	09:11:42.384	43.462229950	1.272889989	0.322358	122
71.224	09:11:42.634	43.462229950	1.272889989	0.322358	122
71.474	09:11:42.884	43.462229950	1.272889989	0.322358	122
71.724	09:11:43.134	43.462229950	1.272889989	0.322358	122
71.974	09:11:43.384	43.462229950	1.272889989	0.322358	122
72.224	09:11:43.634	43.462229950	1.272889989	0.322358	122
72.474	09:11:43.884	43.462229950	1.272889989	0.322358	122
72.724	09:11:44.134	43.462229950	1.272889989	0.326746	122
72.974	09:11:44.384	43.462229950	1.272889989	0.326746	122
73.224	09:11:44.634	43.462229950	1.272889989	0.326746	122
73.474	09:11:44.884	43.462229950	1.272889989	0.326746	122
73.724	09:11:45.134	43.462229950	1.272889989	0.326746	122
73.974	09:11:45.384	43.462229950	1.272889989	0.326746	122
74.224	09:11:45.634	43.462229950	1.272889989	0.326746	122
74.474	09:11:45.884	43.462229950	1.272889989	0.326746	122
74.724	09:11:46.134	43.462229950	1.272889989	0.326746	122
74.974	09:11:46.384	43.462229950	1.272889989	0.326746	122
75.224	09:11:46.634	43.462229950	1.272889989	0.326746	122
75.474	09:11:46.884	43.462229950	1.272889989	0.326746	122
75.724	09:11:47.134	43.462229950	1.272889989	0.331043	122
75.974	09:11:47.384	43.462229950	1.272889989	0.331043	122
76.224	09:11:47.634	43.462229950	1.272889989	0.331043	122
76.474	09:11:47.884	43.462229950	1.272889989	0.331043	122
76.724	09:11:48.134	43.462229950	1.272889989	0.331043	122
76.974	09:11:48.384	43.462229950	1.272889989	0.331043	122
77.224	09:11:48.634	43.462229950	1.272889989	0.331043	122
77.474	09:11:48.884	43.462229950	1.272889989	0.331043	122
77.724	09:11:49.134	43.462229950	1.272889989	0.331043	122
77.974	09:11:49.384	43.462229950	1.272889989	0.331043	122
78.224	09:11:49.634	43.462229950	1.272889989	0.331043	122
78.474	09:11:49.884	43.462229950	1.272889989	0.331043	122
78.724	09:11:50.134	43.462229950	1.272889989	0.335339	122
78.974	09:11:50.384	43.462229950	1.272889989	0.335339	122
79.224	09:11:50.634	43.462229950	1.272889989	0.335339	122
79.474	09:11:50.884	43.462229950	1.272889989	0.335339	122
79.724	09:11:51.134	43.462229950	1.272889989	0.335339	122
79.974	09:11:51.384	43.462229950	1.272889989	0.335339	122
80.224	09:11:51.634	43.462229950	1.272889989	0.335339	122
80.474	09:11:51.884	43.462229950	1.272889989	0.335339	122
80.724	09:11:52.134	43.462229950	1.272889989	0.335339	122
80.974	09:11:52.384	43.462229950	1.272889989	0.335339	122
81.224	09:11:52.634	43.462229950	1.272889989	0.335339	122
81.474	09:11:52.884	43.462229950	1.272889989	0.335339	122
81.724	09:11:53.134	43.462229950	1.272889989	0.339684	122
81.974	09:11:53.384	43.462229950	1.272889989	0.339684	122
82.224	09:11:53.634	43.462229950	1.272889989	0.339684	122
82.474	09:11:53.884	43.462229950	1.272889989	0.339684	122
82.724	09:11:54.134	43.462229950	1.272889989	0.339684	122
82.974	09:11:54.384	43.462229950	1.272889989	0.339684	122
83.224	09:11:54.634	43.462229950	1.272889989	0.339684	122
83.474	09:11:54.884	43.462229950	1.272889989	0.339684	122
83.724	09:11:55.134	43.462229950	1.272889989	0.339684	122
83.974	09:11:55.384	43.462229950	1.272889989	0.339684	122
84.224	09:11:55.634	43.462229950	1.272889989	0.339684	122
84.474	09:11:55.884	43.462229950	1.272889989	0.339684	122
84.724	09:11:56.134	43.462229950	1.272889989	0.34398	122
84.974	09:11:56.384	43.462229950	1.272889989	0.34398	122
85.224	09:11:56.634	43.462229950	1.272889989	0.34398	122
85.474	09:11:56.884	43.462229950	1.272889989	0.34398	122
85.724	09:11:57.134	43.462229950	1.272889989	0.34398	122
85.974	09:11:57.384	43.462229950	1.272889989	0.34398	122
86.224	09:11:57.634	43.462229950	1.272889989	0.34398	122
86.474	09:11:57.884	43.462229950	1.272889989	0.34398	122
86.724	09:11:58.134	43.462229950	1.272889989	0.34398	122
86.974	09:11:58.384	43.462229950	1.272889989	0.34398	122
87.224	09:11:58.634	43.462229950	1.272889989	0.34398	122
87.474	09:11:58.884	43.462229950	1.272889989	0.34398	122
87.724	09:11:59.134	43.462229950	1.272889989	0.348325	122
87.974	09:11:59.384	43.462229950	1.272889989	0.348325	122
88.224	09:11:59.634	43.462229950	1.272889989	0.348325	122
88.474	09:11:59.884	43.462229950	1.272889989	0.348325	122
88.724	09:12:0.134	43.462229950	1.272889989	0.348325	122
88.974	09:12:0.384	43.462229950	1.272889989	0.348325	122
89.224	09:12:0.634	43.462229950	1.272889989	0.348325	122
89.474	09:12:0.884	43.462229950	1.272889989	0.348325	122
89.724	09:12:1.134	43.462229950	1.272889989	0.348325	122
89.974	09:12:1.384	43.462229950	1.272889989	0.348325	122
90.224	09:12:1.634	43.462229950	1.272889989	0.348325	122
90.474	09:12:1.884	43.462229950	1.272889989	0.348325	122
90.724	09:12:2.134	43.462229950	1.272889989	0.352619	122
90.974	09:12:2.384	43.462229950	1.272889989	0.352619	122
91.224	09:12:2.634	43.462229950	1.272889989	0.352619	122
91.474	09:12:2.884	43.462229950	1.272889989	0.352619	122
91.724	09:12:3.134	43.462229950	1.272889989	0.352619	122
91.974	09:12:3.384	43.462229950	1.272889989	0.352619	122
92.224	09:12:3.634	43.462229950	1.272889989	0.352619	122
92.474	09:12:3.884	43.462229950	1.272889989	0.352619	122
92.724	09:12:4.134	43.462229950	1.272889989	0.352619	122
92.974	09:12:4.384	43.462229950	1.272889989	0.352619	122
93.224	09:12:4.634	43.462229950	1.272889989	0.352619	122
93.474	09:12:4.884	43.462229950	1.272889989	0.352619	122
93.724	09:12:5.134	43.462229950	1.272889989	0.356915	122
93.974	09:12:5.384	43.462229950	1.272889989	0.356915	122
94.224	09:12:5.634	43.462229950	1.272889989	0.356915	122
94.474	09:12:5.884	43.462229950	1.272889989	0.356915	122
94.724	09:12:6.134	43.462229950	1.272889989	0.356915	122
94.974	09:12:6.384	43.462229950	1.272889989	0.356915	122
95.224	09:12:6.634	43.462229950	1.272889989	0.356915	122
95.474	09:12:6.884	43.462229950	1.272889989	0.356915	122
95.724	09:12:7.134	43.462229950	1.272889989	0.356915	122
95.974	09:12:7.384	43.462229950	1.272889989	0.356915	122
96.224	09:12:7.634	43.462229950	1.272889989	0.356915	122
96.474	09:12:7.884	43.462229950	1.272889989	0.356915	122
96.724	09:12:8.134	43.462229950	1.272889989	0.361258	122
96.974	09:12:8.384	43.462229950	1.272889989	0.361258	122
97.224	09:12:8.634	43.462229950	1.272889989	0.361258	122
97.474	09:12:8.884	43.462229950	1.272889989	0.361258	122
97.724	09:12:9.134	43.462229950	1.272889989	0.361258	122
97.974	09:12:9.384	43.462229950	1.272889989	0.361258	122
98.224	09:12:9.634	43.462229950	1.272889989	0.361258	122
98.474	09:12:9.884	43.462229950	1.272889989	0.361258	122
98.724	09:12:10.134	43.462229950	1.272889989	0.361258	122
98.974	09:12:10.384	43.462229950	1.272889989	0.361258	122
99.224	09:12:10.634	43.462229950	1.272889989	0.361258	122
99.474	09:12:10.884	43.462229950	1.272889989	0.361258	122
99.724	09:12:11.134	43.462229950	1.272889989	0.361258	122
99.974	09:12:11.384	43.462229950	1.272889989	0.361258	122
100.224	09:12:11.634	43.462229950	1.272889989	0.361258	122
100.474	09:12:11.884	43.462229950	1.272889989	0.361258	122
100.724	09:12:12.134	43.462229950	1.272889989	0.361258	122
100.974	09:12:12.384	43.462229950	1.272889989	0.361258	122
101.224	09:12:12.634	43.462229950	1.272889989	0.361258	122
101.474	09:12:12.884	43.462229950	1.272889989	0.361258	122
101.724	09:12:13.134	43.462229950	1.272889989	0.361258	122
101.974	09:12:13.384	43.462229950	1.272889989	0.361258	122
102.224	09:12:13.634	43.462229950	1.272889989	0.361258	122
102.474	09:12:13.884	43.462229950	1.272889989	0.361258	122
102.724	09:12:14.134	43.462229950	1.272889989	0.372344	122
102.974	09:12:14.384	43.462229950	1.272889989	0.372344	122
103.224	09:12:14.634	43.462229950	1.272889989	0.372344	122
103.474	09:12:14.884	43.462229950	1.272889989	0.372344	122
103.724	09:12:15.134	43.462229950	1.272889989	0.372344	122
103.974	09:12:15.384	43.462229950	1.272889989	0.372344	122
104.224	09:12:15.634	43.462229950	1.272889989	0.372344	122
104.474	09:12:15.884	43.462229950	1.272889989	0.372344	122
104.724	09:12:16.134	43.462229950	1.272889989	0.372344	122
104.974	09:12:16.384	43.462229950	1.272889989	0.372344	122
105.224	09:12:16.634	43.462229950	1.272889989	0.372344	122
105.474	09:12:16.884	43.462229950	1.272889989	0.372344	122
105.724	09:12:17.134	43.462229950	1.272889989	0.374193	122
105.974	09:12:17.384	43.462229950	1.272889989	0.374193	122
106.224	09:12:17.634	43.462229950	1.272889989	0.374193	122
106.474	09:12:17.884	43.462229950	1.272889989	0.374193	122
106.724	09:12:18.134	43.462229950	1.272889989	0.374193	122
106.974	09:12:18.384	43.462229950	1.272889989	0.374193	122
107.224	09:12:18.634	43.462229950	1.272889989	0.374193	122
107.474	09:12:18.884	43.462229950	1.272889989	0.374193	122
107.724	09:12:19.134	43.462229950	1.272889989	0.374193	122
107.974	09:12:19.384	43.462229950	1.272889989	0.374193	122
108.224	09:12:19.634	43.462229950	1.272889989	0.374193	122
108.474	09:12:19.884	43.462229950	1.272889989	0.374193	122
108.724	09:12:20.134	43.462229950	1.272889989	0.378488	122
108.974	09:12:20.384	43.462229950	1.272889989	0.378488	122
109.224	09:12:20.634	43.462229950	1.272889989	0.378488	122
109.474	09:12:20.884	43.462229950	1.272889989	0.378488	122
109.724	09:12:21.134	43.462229950	1.272889989	0.378488	122
109.974	09:12:21.384	43.462229950	1.272889989	0.378488	122
110.224	09:12:21.634	43.462229950	1.272889989	0.378488	122
110.474	09:12:21.884	43.462229950	1.272889989	0.378488	122
